DATADATE,DATA
2021/05/14,5.75
2021/05/07,5.72
2021/04/30,5.66
2021/04/23,5.75
2021/04/16,5.63
2021/04/09,5.63
2021/04/02,5.88
2021/03/26,5.88
2021/03/19,5.9
2021/03/12,5.88
2021/03/05,5.82
2021/02/26,5.84
2021/02/19,5.56
2021/02/05,5.53
2021/01/29,5.68
2021/01/22,5.6
2021/01/15,5.76
2021/01/08,5.87
2021/01/01,6.05
2020/12/25,6.13
2020/12/18,6.05
2020/12/11,5.81
2020/12/04,5.75
2020/11/27,5.7
2020/11/20,5.69
2020/11/13,5.71
2020/11/06,5.96
2020/10/30,6.1
2020/10/23,6.25
2020/10/16,6.33
2020/10/09,6.45
2020/10/02,6.56
2020/09/25,6.72
2020/09/18,6.81
2020/09/11,6.94
2020/09/04,6.9
2020/08/28,6.95
2020/08/21,7.08
2020/08/14,6.89
2020/08/07,6.84
2020/07/31,6.79
2020/07/24,6.71
2020/07/17,6.73
2020/07/10,6.65
2020/07/03,6.58
2020/06/26,6.69
2020/06/19,6.62
2020/06/12,6.6
2020/06/05,6.61
2020/05/29,6.75
2020/05/22,6.75
2020/05/15,6.79
